Name,Symptoms,Treatment
Panic disorder,"Palpitations, Sweating, Trembling, Shortness of breath, Fear of losing control, Dizziness","Treatment typically involves a combination of therapy and medications. Cognitive-behavioral therapy (CBT) and selective serotonin reuptake inhibitors (SSRIs) are commonly used."
Vocal cord polyp,"Hoarseness, Vocal Changes, Vocal Fatigue","Treatment may involve voice therapy, surgical removal of the polyp, or in some cases, voice rest and hydration."
Turner syndrome,"Short stature, Gonadal dysgenesis, Webbed neck, Lymphedema","Treatment may include growth hormone therapy, estrogen replacement therapy, and addressing associated health issues."
Cryptorchidism,"Absence or undescended testicle(s), empty scrotum, smaller or underdeveloped testicle(s), inguinal hernia, abnormal positioning of the testicle(s) (higher in the groin area)","Treatment options include hormone therapy, surgical placement of the testicle(s), orchiopexy, or orchiectomy."
Ethylene glycol poisoning-1,"Nausea, vomiting, abdominal pain, General malaise, weakness, Increased thirst, frequent urination","Immediate medical treatment is essential. This may include supportive care, administration of antidotes, and monitoring of kidney function."
Ethylene glycol poisoning-2,"Metabolic acidosis, apid breathing, rapid heart rate, confusion, headache, dizziness, seizures","Emergency treatment is needed. Treatment may involve administration of antidotes, supportive care, and management of acid-base balance."
Ethylene glycol poisoning-3,"Decreased urine output, swelling in the legs and ankles, and signs of fluid overload, Severe kidney damage","Urgent medical attention is necessary. Treatment focuses on managing kidney damage and supporting kidney function."
Atrophic vaginitis,"Vaginal dryness, Vaginal burning, frequent urination, urinary tract infections, Painful intercourse","Treatment may include topical estrogen therapy, vaginal moisturizers, and lubricants."
Fracture,"Pain, Swelling, Bruising, Deformity, Difficulty moving, Loss of function","Treatment depends on the type and severity of the fracture. It may involve immobilization, reduction, surgical intervention, and rehabilitation."
Cellulitis,"Redness, Pain, tenderness, Swelling, Skin changes, Lymph node enlargement","Treatment typically involves oral or intravenous antibiotics, rest, and elevation of the affected area."
Eye alignment disorder,"Double vision, Eye fatigue, Poor depth perception, Head tilting","Treatment options include corrective lenses, vision therapy, prism glasses, or in some cases, surgery."
Headache after lumbar puncture,"throbbing headache","Treatment may involve pain management strategies such as rest, hydration, and over-the-counter pain relievers."
Pyloric stenosis,"Persistent hunger, Weight loss, Dehydration, Visible peristalsis, Palpable mass, Fussiness ","Treatment usually involves surgery (pyloromyotomy) to widen the pyloric channel and alleviate the obstruction."
Adenoid cystic carcinoma,"Lump, swelling, Facial numbness, tingling","Treatment may include surgery, radiation therapy, and chemotherapy, depending on the extent and location of the tumor."
Pleomorphic adenoma,"Painless lump or swelling, Facial changes","Surgical removal (excision) is the primary treatment. In some cases, radiation therapy may be recommended."
Warthin tumor,"Painless lump or swelling, Facial changes","Surgical removal (excision) is usually recommended. In rare cases, observation may be appropriate."
Mucoepidermoid carcinoma,"Lump, swelling, Difficulty, pain when swallowing and speaking, Facial weakness, Facial paralysis ","Treatment typically involves surgery, sometimes followed by radiation therapy or chemotherapy, depending on the stage and location of the tumor."
Acinic cell carcinoma,"Lump, swelling, Facial changes","Treatment usually involves surgical removal of the tumor. Radiation therapy or chemotherapy may be recommended in some cases."
Mucocele,"Painless fluid-filled swelling in the oral cavity","Surgical removal (excision) is often performed to prevent recurrence and alleviate symptoms."
Osteochondrosis,"Joint pain, stiffness, swelling, reduced range of motion","Treatment may include rest, physical therapy, pain management, and in some cases, surgery."
Sialolithiasis,"Swelling, pain, tenderness, difficulty eating","Treatment may involve gland massage, hydration, warm compresses, or in some cases, surgical removal of the stone."
Submandibular stones,"Swelling, pain, dry mouth, bad taste","Treatment may involve gland massage, hydration, warm compresses, or in some cases, surgical removal of the stone."
Parotid stones,"Swelling, pain, dry mouth, bad taste","Treatment may involve gland massage, hydration, warm compresses, or in some cases, surgical removal of the stone."
Recurrent salivary stones,"Frequent episodes of stone formation","Preventive measures may include hydration, good oral hygiene, and dietary modifications. In some cases, surgical intervention may be necessary."
Wharton's duct stones,"Swelling, pain, dry mouth, bad taste","Treatment may involve gland massage, hydration, warm compresses, or in some cases, surgical removal of the stone."
Mumps,"Swollen salivary glands (usually parotid), fever, headache, fatigue","Treatment focuses on supportive care, including rest, hydration, pain management, and isolation to prevent the spread of the virus."
Ludwig's angina,"Severe swelling of the floor of the mouth, fever, difficulty swallowing, drooling","Immediate medical attention is essential. Treatment may involve antibiotics, airway management, and surgical drainage, in severe cases."
Mucocele,"Painless swelling, usually on the lower lip or floor of the mouth","Surgical removal (excision) is typically performed to prevent recurrence and alleviate symptoms."
Abscess,"Swelling, pain, redness, fever, pus formation","Treatment usually involves incision and drainage of the abscess, along with antibiotics to prevent infection spread."
Sjögren's syndrome,"Dry mouth and eyes, fatigue, joint pain, dry skin","Treatment aims to relieve symptoms and prevent complications. This may include artificial tears, saliva substitutes, medications to reduce inflammation, and lifestyle modifications."
